feature,lgb_importance
robot_active_diff2,328.8
bottle_neck_roll10_std,324.0
risk_index_roll10_min,318.2
order_pressure_roll10_mean,317.8
risk_index_roll5_max,317.6
battery_cv_roll5_max,312.8
ts_x_congestion_score,311.6
robot_active_roll5_max,311.4
battery_cv_roll5_mean,306.8
bottle_neck_lag5,300.8
max_zone_density_roll5_std,300.2
order_pressure_lag1,298.0
risk_index_lag5,296.8
congestion_score_roll10_mean,290.8
timeslot,290.6
max_zone_density_roll10_min,288.2
robot_active_roll3_max,286.6
battery_cv_roll10_max,283.4
bottle_neck_roll10_min,280.6
max_zone_density_roll5_max,280.6
congestion_score_ewm_mean,276.4
max_zone_density_roll3_max,272.4
risk_index_roll5_std,271.2
order_pressure_roll3_max,267.6
robot_total_lag2,267.0
battery_cv_ewm_mean,265.0
congestion_score_roll5_std,263.8
risk_index_roll3_max,263.6
risk_index_roll5_mean,261.0
order_pressure_roll5_mean,260.2
max_zone_density_lag5,258.6
congestion_score_roll5_max,257.8
max_zone_density_lag4,257.2
robot_total_roll3_max,252.8
cong_x_pack,250.6
congestion_score_lag5,250.6
max_zone_density_roll5_mean,249.2
order_pressure_roll3_mean,248.4
congestion_score_roll10_min,244.6
max_zone_density_roll3_std,243.6
congestion_score_roll3_std,243.0
max_zone_density_lag1,241.8
bottle_neck_roll5_std,241.0
bottle_neck_lag4,239.8
bottle_neck_roll5_max,237.8
risk_index_roll3_std,235.4
risk_index_lag4,234.0
bottle_neck_roll3_max,229.2
order_pressure_ewm_mean,228.6
max_zone_density_roll3_mean,223.0
bottle_neck_roll5_mean,217.4
risk_index_lag1,207.6
max_zone_density_lag3,207.4
risk_index_roll3_mean,206.2
bottle_neck_diff2,205.6
low_battery_ratio_roll10_max,204.8
congestion_score_lag4,201.8
low_battery_ratio_exp_mean,201.2
max_zone_density_roll5_min,199.8
avg_recovery_time,199.4
congestion_score_roll5_mean,199.2
congestion_score_roll3_max,197.4
risk_index_lag2,196.8
bottle_neck_lag1,196.2
risk_index_lag3,192.4
bottle_neck_roll5_min,186.8
bottle_neck_roll3_std,186.4
risk_index_diff1,183.2
battery_risk_roll10_max,183.0
risk_index_roll5_min,181.6
risk_index_roll3_min,181.0
risk_index_diff2,180.2
max_zone_density_lag2,180.0
bottle_neck_lag3,178.4
congestion_score_lag1,178.0
congestion_score_lag3,177.4
sku_concentration_roll5_mean,173.6
bottle_neck_roll3_mean,172.2
max_zone_density_roll3_min,172.0
bottle_neck_diff1,171.6
bottle_neck_roll3_min,166.2
ops_x_cong,164.4
low_battery_ratio_lag5,161.0
congestion_score_roll3_mean,160.6
bottle_neck_lag2,160.0
battery_risk_lag5,155.6
battery_risk_exp_mean,154.6
congestion_score_lag2,153.0
sku_concentration_lag4,150.6
low_battery_ratio_lag4,146.0
congestion_score_roll3_min,144.2
order_pressure_roll5_max,141.2
congestion_score_roll5_min,137.4
low_battery_ratio,134.0
robot_charging,132.6
robot_total_roll3_min,131.8
sku_concentration_roll5_max,131.8
fault_count_15m,126.4
battery_risk,125.0
robot_total_lag3,124.2
low_battery_ratio_roll5_std,121.0
low_battery_ratio_roll3_std,119.4
battery_risk_lag4,119.4
ts_x_low_battery_ratio,117.8
battery_risk_roll5_std,115.2
congestion_score_diff2,115.2
max_zone_density_diff2,113.8
low_battery_ratio_roll10_std,112.6
low_battery_ratio_roll5_max,110.4
congestion_score_diff1,110.2
battery_risk_roll3_std,109.0
battery_risk_roll10_mean,108.2
low_battery_ratio_lag3,106.0
battery_risk_roll3_max,103.4
battery_risk_lag3,103.4
battery_risk_lag2,103.2
lowbat_x_eff,103.0
battery_risk_roll5_max,102.2
low_battery_ratio_lag2,99.2
max_zone_density_diff1,99.0
battery_risk_roll10_std,97.8
low_battery_ratio_roll10_mean,95.4
low_battery_ratio_lag1,92.2
low_battery_ratio_roll3_max,90.0
v13_row_frac_in_scen,89.4
battery_risk_lag1,84.4
battery_risk_ewm_mean,81.0
sku_concentration_lag5,75.4
low_battery_ratio_diff2,72.0
avg_charge_wait,71.2
low_battery_ratio_diff1,71.0
low_battery_ratio_roll3_mean,69.8
battery_risk_diff2,69.0
battery_risk_diff1,68.8
battery_risk_roll3_mean,66.8
low_battery_ratio_roll5_mean,66.8
battery_risk_roll5_mean,64.2
robot_total_roll5_mean,60.2
low_battery_ratio_scen_min,59.4
near_collision_15m,58.2
sku_concentration_diff2,57.6
order_pressure_roll10_max,57.2
low_battery_ratio_ewm_mean,57.0
low_battery_ratio_roll3_min,57.0
robot_total_lag4,55.2
battery_risk_roll3_min,54.2
low_battery_ratio_roll10_min,50.4
battery_risk_roll10_min,47.2
blocked_path_15m,43.6
sku_concentration_roll5_min,42.8
low_battery_ratio_roll5_min,40.8
