feature,lgb_importance,xgb_importance,cat_importance,mean_importance
robot_efficiency_roll5_std,6949.2,0.0005624628742225468,0.04716514089858208,2316.4159092012574
robot_utilization,6947.0,0.0004304416652303189,0.09961029990433722,2315.7000135805233
order_per_station_lag4,6929.6,0.0007467781892046332,0.1827192067652698,2309.9278219949847
robot_efficiency_lag5,6928.8,0.0005903611076064408,0.09532524627789248,2309.6319718691284
pack_utilization,6850.2,0.00130299455486238,0.07805719620309785,2283.4264533969194
order_per_station_roll5_std,6843.0,0.00067375652724877,0.05393134131903012,2281.018201699282
order_inflow_15m_lag1,6819.6,0.0006069084745831787,0.07087202461224917,2273.223826311029
pack_utilization_lag5,6811.4,0.0009625558974221349,0.03133709902683007,2270.4774332183083
order_inflow_15m_lag3,6773.6,0.0006012009223923087,0.06204203762219849,2257.887547746182
robot_efficiency_lag4,6717.8,0.0006129865534603596,0.08389989579089836,2239.294837627448
battery_cv_roll10_std,6685.0,0.000638887204695493,0.0374551098430269,2228.346031332349
pack_utilization_lag1,6674.0,0.0015696945367380977,0.11699217258562773,2224.706187289041
battery_mean_scen_min,6579.0,0.0012205660925246776,0.12341510621206471,2193.0415452241014
cumulative_orders,6441.2,0.0008597223320975899,0.050528540357370345,2147.083796087563
intersection_count,6371.6,0.0005380453309044242,0.032874021649726956,2123.8778040223274
pack_utilization_lag3,6338.0,0.0009533499833196402,0.038734331824719935,2112.6798958939357
layout_id_te,6282.6,0.0005830446723848581,0.03442375576232583,2094.2116689334784
pack_utilization_lag2,6269.8,0.0013627948937937617,0.14427660905131798,2089.9818798013152
battery_cv_lag5,6256.8,0.0005770487245172262,0.038480586450091565,2085.613019211725
order_per_station_lag3,6200.8,0.0007289516506716609,0.08433885408842072,2066.96168926858
order_pressure_lag5,6141.8,0.0007616570917889475,0.08132372325855663,2047.294028460117
