feature,cat_importance
sku_concentration_roll5_std,0.0
replenishment_overlap,0.0
v13_ts_cos,0.0
sku_concentration_roll10_std,0.0
outbound_truck_wait_min_lag3,0.0
sku_concentration_roll3_std,0.0
robot_efficiency_roll3_std,0.0
avg_trip_distance_diff1,0.0
bottle_neck_roll5_std,0.0
bottle_neck_diff2,0.0
outbound_truck_wait_min_diff1,0.0
robot_total_roll5_std,0.0
robot_total_roll3_std,0.0
robot_total_roll10_std,0.0
sku_concentration_scen_std,0.0
